,team_home.team.id,team_home.rank,team_home.points,team_home.goals_diff,team_home.description,team_home.stats_home.played,team_home.stats_home.wins,team_home.stats_home.draws,team_home.stats_home.lose,team_home.stats_home.goals_for,team_home.stats_home.avg_goals_for,team_home.stats_home.goals_against,team_home.stats_home.avg_goals_against,team_home.stats_home.clean_sheet,team_home.stats_home.failed_to_score,team_home.stats_home.streaks.wins,team_home.stats_home.streaks.draws,team_home.stats_home.streaks.loses,team_home.stats_home.streaks.best_win,team_home.stats_home.streaks.best_lose,team_home.stats_home.streaks.best_goals_for,team_home.stats_home.streaks.best_goals_against,team_away.team.id,team_away.rank,team_away.points,team_away.goals_diff,team_away.description,team_away.stats_home.played,team_away.stats_home.wins,team_away.stats_home.draws,team_away.stats_home.lose,team_away.stats_home.goals_for,team_away.stats_home.avg_goals_for,team_away.stats_home.goals_against,team_away.stats_home.avg_goals_against,team_away.stats_home.clean_sheet,team_away.stats_home.failed_to_score,team_away.stats_home.streaks.wins,team_away.stats_home.streaks.draws,team_away.stats_home.streaks.loses,team_away.stats_home.streaks.best_win,team_away.stats_home.streaks.best_lose,team_away.stats_home.streaks.best_goals_for,team_away.stats_home.streaks.best_goals_against,team_away.stats_away.played,team_away.stats_away.wins,team_away.stats_away.draws,team_away.stats_away.lose,team_away.stats_away.goals_for,team_away.stats_away.avg_goals_for,team_away.stats_away.goals_against,team_away.stats_away.avg_goals_against,team_away.stats_away.clean_sheet,team_away.stats_away.failed_to_score,team_away.stats_away.streaks.wins,team_away.stats_away.streaks.draws,team_away.stats_away.streaks.loses,team_away.stats_away.streaks.best_win,team_away.stats_away.streaks.best_lose,team_away.stats_away.streaks.best_goals_for,team_away.stats_away.streaks.best_goals_against,stats_home.s_on_g,stats_home.s_off_g,stats_home.s_in,stats_home.s_out,stats_home.s_total,stats_home.s_blocked,stats_home.fouls,stats_home.corners,stats_home.offside,stats_home.possession,stats_home.c_yellow,stats_home.c_red,stats_home.saves,stats_home.p_total,stats_home.p_accurate,stats_home.p_percentage,stats_away.s_on_g,stats_away.s_off_g,stats_away.s_in,stats_away.s_out,stats_away.s_total,stats_away.s_blocked,stats_away.fouls,stats_away.corners,stats_away.offside,stats_away.possession,stats_away.c_yellow,stats_away.c_red,stats_away.saves,stats_away.p_total,stats_away.p_accurate,stats_away.p_percentage,wins_home,loses_home,draws_home,wins_away,loses_away,draws_away,svm,svm_pca_fi,svm_pca_tw,nb,nb_pca_fi,nb_pca_tw,w_p,d_p,l_p,team_home.team.name,team_away.team.name
148,542,15,39,-20,0,18,7,6,5,20.0,1.1,14.0,0.8,7,5,2,2,6,3,-2,3,2,529,2,79,43,1,19,16,2,1,52.0,2.7,16.0,0.8,8,1,5,2,1,5,-1,5,2,18,8,5,5,29.0,1.6,22.0,1.2,6,5,5,2,1,4,4,4,3,3.1666666666666665,4.0,9.38888888888889,2.2222222222222223,6.722222222222222,2.6666666666666665,16.833333333333332,4.055555555555555,1.9444444444444444,0.44166666666666665,3.4444444444444446,0.05555555555555555,2.111111111111111,347.72222222222223,248.22222222222223,0.7072222222222222,5.111111111111111,3.111111111111111,11.222222222222221,3.0,7.333333333333333,3.888888888888889,11.333333333333334,4.611111111111111,1.8333333333333333,0.6661111111111112,2.5555555555555554,0.16666666666666666,2.5,682.1666666666666,601.1666666666666,0.8783333333333334,1,3,1,3,1,1,-1,1,-1,-1,-1,-1,0.16666666666666666,0.0,0.8333333333333334,Alaves,Barcelona
183,530,3,69,24,1,18,12,5,1,27.0,1.5,10.0,0.6,10,4,4,3,1,3,-1,3,2,548,6,55,8,2,19,9,4,6,33.0,1.7,20.0,1.1,6,2,3,2,4,3,-1,4,3,18,7,3,8,22.0,1.2,27.0,1.5,3,5,3,2,4,2,2,4,3,4.277777777777778,5.666666666666667,13.61111111111111,3.6666666666666665,8.833333333333334,4.777777777777778,13.444444444444445,5.666666666666667,3.0,0.4816666666666667,2.0555555555555554,0.1111111111111111,2.0,425.22222222222223,341.05555555555554,0.7983333333333333,3.0555555555555554,3.5,8.555555555555555,2.0,5.444444444444445,3.111111111111111,13.055555555555555,3.7222222222222223,2.0,0.5566666666666666,2.2777777777777777,0.05555555555555555,3.4444444444444446,459.6666666666667,366.8333333333333,0.7922222222222222,3,0,2,2,1,2,1,1,-1,1,1,1,0.8333333333333334,0.0,0.16666666666666663,Atletico Madrid,Real Sociedad
283,540,20,24,-31,4,18,2,5,11,15.0,0.8,31.0,1.7,2,7,1,1,3,2,-3,2,4,538,17,36,-12,0,19,5,8,6,22.0,1.2,20.0,1.1,6,6,2,3,5,6,-2,6,3,18,2,7,9,15.0,0.8,29.0,1.6,5,7,2,3,5,2,2,3,5,3.6666666666666665,4.944444444444445,11.944444444444445,3.3333333333333335,7.222222222222222,4.722222222222222,15.666666666666666,4.222222222222222,2.111111111111111,0.49944444444444464,2.4444444444444446,0.1111111111111111,3.0,414.55555555555554,315.3888888888889,0.7472222222222222,3.5555555555555554,3.0,8.38888888888889,1.8333333333333333,5.111111111111111,3.2777777777777777,12.61111111111111,4.388888888888889,1.6666666666666667,0.5077777777777777,2.8333333333333335,0.05555555555555555,3.2777777777777777,435.27777777777777,348.3333333333333,0.7950000000000002,0,5,0,0,3,2,-1,1,1,-1,1,1,0.6666666666666666,0.0,0.33333333333333337,Espanyol,Celta Vigo
94,715,9,53,3,0,18,9,3,6,22.0,1.2,16.0,0.9,7,3,3,2,3,3,-1,3,2,531,10,51,7,0,19,9,4,6,21.0,1.1,14.0,0.7,8,6,3,5,4,3,-2,3,2,18,4,8,6,20.0,1.1,20.0,1.1,4,6,3,5,4,3,3,4,3,3.2222222222222223,5.666666666666667,11.333333333333334,2.4444444444444446,6.888888888888889,4.444444444444445,16.0,5.111111111111111,1.5555555555555556,0.4466666666666668,2.5,0.0,2.8333333333333335,330.1111111111111,238.0,0.7172222222222222,2.7777777777777777,3.9444444444444446,8.61111111111111,1.8888888888888888,4.611111111111111,4.0,14.055555555555555,4.444444444444445,1.6111111111111112,0.4583333333333333,2.0,0.05555555555555555,2.5,364.55555555555554,264.8888888888889,0.7205555555555556,3,1,1,2,3,0,1,1,-1,0,1,1,0.6666666666666666,0.16666666666666666,0.16666666666666674,Granada CF,Athletic Club
152,537,18,35,-21,4,18,5,4,9,15.0,0.8,24.0,1.3,5,7,1,2,4,2,-3,3,3,541,1,86,45,1,19,15,4,0,40.0,2.1,11.0,0.6,11,2,5,3,1,5,0,5,2,18,11,4,3,28.0,1.6,12.0,0.7,8,4,5,3,1,4,4,4,2,3.9444444444444446,5.166666666666667,11.722222222222221,2.611111111111111,6.722222222222222,5.0,16.166666666666668,4.388888888888889,1.8888888888888888,0.4555555555555556,3.0,0.1111111111111111,1.7777777777777777,348.55555555555554,252.44444444444446,0.711111111111111,5.388888888888889,5.666666666666667,13.5,2.4444444444444446,8.277777777777779,5.222222222222222,13.055555555555555,4.388888888888889,2.5,0.5755555555555557,2.2222222222222223,0.16666666666666666,1.7777777777777777,554.9444444444445,476.44444444444446,0.8544444444444446,3,1,1,5,0,0,-1,-1,-1,-1,-1,-1,0.0,0.0,1.0,Leganes,Real Madrid
191,539,12,46,-7,0,18,8,5,5,26.0,1.4,19.0,1.1,4,4,2,3,4,2,-2,4,4,546,7,54,7,3,19,8,6,5,25.0,1.3,20.0,1.1,8,7,4,3,2,4,-3,4,3,18,6,6,6,18.0,1.0,16.0,0.9,7,6,4,3,2,3,3,3,3,3.7222222222222223,4.555555555555555,11.555555555555555,3.2777777777777777,6.722222222222222,4.833333333333333,12.222222222222221,4.888888888888889,2.1666666666666665,0.4788888888888889,2.111111111111111,0.16666666666666666,4.333333333333333,390.0,306.8888888888889,0.783888888888889,2.8333333333333335,4.444444444444445,9.722222222222221,2.4444444444444446,6.166666666666667,3.5555555555555554,19.77777777777778,4.388888888888889,2.7222222222222223,0.42000000000000004,3.6666666666666665,0.1111111111111111,2.2222222222222223,285.3888888888889,168.16666666666666,0.5877777777777777,1,2,2,0,3,2,0,1,1,-1,1,1,0.6666666666666666,0.16666666666666666,0.16666666666666674,Levante,Getafe
377,727,11,51,-8,0,18,7,6,5,24.0,1.3,27.0,1.5,6,6,3,4,2,2,-5,4,5,798,19,32,-25,4,19,8,3,8,25.0,1.3,22.0,1.2,5,7,2,1,3,4,-4,5,4,18,1,2,15,13.0,0.7,41.0,2.3,0,11,2,1,3,1,1,3,5,4.777777777777778,6.388888888888889,14.333333333333334,3.1666666666666665,9.166666666666666,5.166666666666667,14.555555555555555,5.222222222222222,2.5,0.5016666666666666,2.9444444444444446,0.1111111111111111,2.1666666666666665,386.1666666666667,275.6666666666667,0.7044444444444444,3.111111111111111,5.0,11.0,2.888888888888889,6.277777777777778,4.722222222222222,12.61111111111111,4.277777777777778,0.8333333333333334,0.4605555555555556,2.1666666666666665,0.05555555555555555,3.5555555555555554,378.05555555555554,296.5,0.7716666666666665,3,1,1,2,3,0,1,1,1,1,1,1,1.0,0.0,0.0,Osasuna,Mallorca
259,536,4,67,19,1,18,9,7,2,25.0,1.4,14.0,0.8,8,2,4,4,2,2,-1,3,2,532,8,53,-6,0,19,11,7,1,29.0,1.5,16.0,0.8,7,1,2,2,3,2,-2,3,3,18,3,4,11,17.0,0.9,36.0,2.0,1,7,2,2,3,2,2,4,5,4.611111111111111,6.277777777777778,14.277777777777779,3.388888888888889,10.333333333333334,3.9444444444444446,13.555555555555555,7.5,2.2777777777777777,0.605,2.4444444444444446,0.0,2.3333333333333335,537.0,450.1666666666667,0.8333333333333334,2.388888888888889,3.6666666666666665,7.611111111111111,1.5555555555555556,4.611111111111111,3.0,11.333333333333334,4.222222222222222,2.5,0.49944444444444436,2.3333333333333335,0.3333333333333333,4.388888888888889,435.8888888888889,354.44444444444446,0.8061111111111112,4,0,1,2,2,1,1,1,1,1,1,1,1.0,0.0,0.0,Sevilla,Valencia
5,533,5,57,10,2,18,8,5,5,33.0,1.8,25.0,1.4,6,2,3,1,3,4,-3,5,4,545,13,42,-13,0,19,8,3,8,25.0,1.3,25.0,1.3,6,6,2,2,4,3,-4,3,4,18,3,6,9,14.0,0.8,27.0,1.5,5,8,2,2,4,2,2,2,5,5.055555555555555,5.833333333333333,13.777777777777779,2.888888888888889,9.11111111111111,4.666666666666667,12.166666666666666,3.8333333333333335,2.5555555555555554,0.5355555555555556,2.1666666666666665,0.0,3.2777777777777777,487.5,406.22222222222223,0.8294444444444444,3.2777777777777777,4.888888888888889,10.333333333333334,2.1666666666666665,5.611111111111111,4.722222222222222,14.666666666666666,4.388888888888889,2.0555555555555554,0.45222222222222225,2.2222222222222223,0.1111111111111111,2.4444444444444446,344.55555555555554,238.38888888888889,0.6761111111111111,2,3,0,2,2,1,1,1,1,1,1,1,1.0,0.0,0.0,Villarreal,Eibar
343,720,16,39,-13,0,18,4,10,4,16.0,0.9,15.0,0.8,7,7,1,3,2,3,-3,3,4,543,14,41,-10,0,19,9,4,6,34.0,1.8,27.0,1.4,3,1,3,2,2,3,-2,3,3,18,1,7,10,14.0,0.8,31.0,1.7,3,8,3,2,2,1,1,2,5,3.0,4.611111111111111,10.0,2.388888888888889,5.277777777777778,4.722222222222222,12.777777777777779,4.722222222222222,2.2222222222222223,0.4583333333333333,2.3333333333333335,0.0,2.0,374.1666666666667,280.6666666666667,0.7433333333333333,3.5555555555555554,4.777777777777778,11.222222222222221,2.888888888888889,6.722222222222222,4.5,13.055555555555555,4.388888888888889,1.8333333333333333,0.5744444444444444,2.7222222222222223,0.16666666666666666,2.6666666666666665,476.77777777777777,396.44444444444446,0.8272222222222223,1,3,1,1,3,1,0,0,1,0,1,1,0.5,0.5,0.0,Valladolid,Real Betis
